IdLog,IdUtilisateur,IdSession,Horodatage,Page,Action,Appareil,Pays,TempsReponseMs,CodeStatut,CategorieProduit,ChiffreAffaires
1,UTIL0141,SESSION00251,2025-04-25 04:47:06,/accueil,cliquer_produit,tablette,Suisse,2313,200,Sport,0.0
2,UTIL0112,SESSION00239,2025-09-16 19:01:35,/produits,voir_page,ordinateur,Suisse,2312,200,Sport,0.0
3,UTIL0082,SESSION00433,2025-06-24 08:09:13,/accueil,cliquer_produit,mobile,France,459,200,Mode,0.0
4,UTIL0023,SESSION00471,2025-10-02 03:59:24,/commande,ajouter_panier,ordinateur,Belgique,1280,200,Beaute,0.0
5,UTIL0296,SESSION00197,2025-12-27 02:02:42,/paiement,passer_commande,ordinateur,Pays-Bas,1265,500,Telephonie,0.0
6,UTIL0195,SESSION00285,2025-08-21 20:53:23,/produits,voir_page,ordinateur,Italie,1535,200,Mode,0.0
7,UTIL0088,SESSION00547,2025-05-06 05:29:24,/produits,ajouter_panier,mobile,Suisse,2361,200,Mode,0.0
8,UTIL0118,SESSION00033,2025-06-11 12:17:04,/accueil,ajouter_panier,ordinateur,Belgique,1368,200,Sport,0.0
9,UTIL0074,SESSION00272,2025-03-13 07:47:35,/connexion,voir_page,tablette,Italie,2474,200,Beaute,0.0
10,UTIL0071,SESSION00522,2025-09-10 02:48:03,/panier,voir_page,ordinateur,Allemagne,735,200,Sport,0.0
11,UTIL0196,SESSION00480,2025-09-28 08:35:55,/contact,cliquer_produit,ordinateur,Suisse,549,200,Beaute,0.0
12,UTIL0058,SESSION00301,2025-08-11 05:29:00,/paiement,ajouter_panier,tablette,Suisse,1158,500,Telephonie,0.0
13,UTIL0153,SESSION00520,2025-11-08 06:09:23,/produits,voir_page,ordinateur,Belgique,2252,404,Beaute,0.0
14,UTIL0058,SESSION00372,2025-06-07 07:03:15,/accueil,voir_page,tablette,France,430,200,Telephonie,0.0
15,UTIL0065,SESSION00132,2025-12-04 15:35:10,/promotion,voir_page,mobile,Belgique,1813,404,Beaute,0.0
16,UTIL0160,SESSION00409,2025-12-10 20:23:28,/panier,ajouter_panier,tablette,Espagne,575,200,Informatique,0.0
17,UTIL0118,SESSION00226,2025-01-04 02:45:40,/promotion,voir_page,ordinateur,Allemagne,356,404,Telephonie,0.0
18,UTIL0122,SESSION00286,2025-12-09 15:13:34,/promotion,voir_page,ordinateur,Suisse,2418,200,Maison,0.0
19,UTIL0098,SESSION00097,2025-02-19 21:27:22,/contact,ajouter_panier,mobile,Espagne,1992,200,Informatique,0.0
20,UTIL0032,SESSION00413,2025-06-23 03:15:12,/produits,cliquer_produit,ordinateur,Belgique,1917,200,Maison,0.0
21,UTIL0039,SESSION00454,2025-10-09 03:03:41,/panier,voir_page,tablette,Pays-Bas,140,404,Telephonie,0.0
22,UTIL0209,SESSION00498,2025-09-04 06:55:25,/details-produit,ajouter_panier,ordinateur,Allemagne,1632,200,Sport,0.0
